event_count,trial,seed,query_type,sample_position,query_key,row_count,row_sha256,full_indexes_connect_plus_first_query_ms,no_service_index_connect_plus_first_query_ms,no_correlation_index_connect_plus_first_query_ms,no_lookup_indexes_connect_plus_first_query_ms
10000,2,9339,service,7,svc-0033,54,1e59c626170ddb900dc4fec36d81e181dd38218594ed3d6d7c8dbcd466e0d975,0.288375,0.870958,0.155917,0.998625
10000,2,9339,service,8,svc-0124,48,0ab86b3cd38555fc4115d2177b65f1b165885ca3f1bc82372fdda832361529ab,0.153792,1.012291,0.179333,0.882625
10000,2,9339,service,9,svc-0058,48,309a13c7c9c8b2bdaa061f04844c55ed9c49a15cb89892e15782922108992a0d,0.194875,0.873375,0.158208,0.975167
10000,2,9339,service,10,svc-0029,48,4e8902c3591110bb4f50730b9f5b4e4d03a10b0b1aef0499c193ad7fae812ad6,0.15425,0.8615,0.147916,0.882667
10000,2,9339,service,11,svc-0151,48,bcc409846f22404fa31c41e84db007cd73ebfa50a9b2bebf056a8a98fafc881e,0.17925,0.936042,0.152375,0.943041
10000,2,9339,service,12,svc-0078,48,c6284b52b99055a5cd1d1e26bdf5a02cd1dc4137fa1cab3a11c30532023e801b,0.154833,0.933791,0.145416,0.894125
10000,2,9339,service,13,svc-0121,54,ad600f1c1ed50114500e3dce86d0b603e5f2434c0ed831692df1261c7b3068ba,0.164792,0.924667,0.158541,0.934834
10000,2,9339,service,14,svc-0172,48,9107fc3fa22ea09e74ce4d258d0981e315767ba6e3a33e3a0fd5e6b8d061d3d5,0.152042,0.89975,0.158334,1.005834
10000,2,9339,service,15,svc-0011,48,d9b726cedb9cf2e7fd01d3809b2e34cbbfafc0ddcb39cf000f971eafc39405a9,0.15975,0.97075,0.140291,0.941583
10000,2,9339,service,16,svc-0158,48,a57b76d52dfdc22285e7d402c3efd1cd80f185099122c7c1fd68fa174530c5a5,0.167875,0.944917,0.15275,0.909625
10000,2,9339,service,17,svc-0156,48,89e05c1836d17adc599610b8adbd6de1bca5c463a4dd949b3205f94239a4e218,0.170875,0.942417,0.358625,0.966875
10000,2,9339,service,18,svc-0092,48,48234999ef7f2b43fff9fd9aff5ba3f8b6fbf93ff3b7fbe2b57dc5ef1335ad92,0.249625,0.907334,0.1775,0.916
10000,2,9339,service,19,svc-0131,48,8b23c744733dbfbda97a910b5cfcb36522b23bfffdad32e03df20a79bf81fb9e,0.151917,0.894292,0.161625,0.902417
10000,2,9339,correlation,0,corr-9339-00000438,6,03f58093bdb08a2f3ced343f7447dbcab4a6f1ba4457871f9072c6b2e6e61ac0,0.12425,0.106,1.170667,0.891625
10000,2,9339,correlation,1,corr-9339-00001462,6,794bab77cddecc84e164c6bcbe28d0790ec16b97894c6c2cabde063341a350d1,0.192958,0.121834,0.961209,0.927084
10000,2,9339,correlation,2,corr-9339-00000654,6,2c9763887b21f7e6ee610f2d35d5ef10ba27cb45c6f55fba963cf0a958407396,0.125584,0.131917,0.882625,0.867167
10000,2,9339,correlation,3,corr-9339-00001086,6,8898cd796802879bae77b30ecc5295bbb949e486c8fdf7e37888452f5daddc4c,0.134458,0.119167,0.931125,0.934583
10000,2,9339,correlation,4,corr-9339-00001021,6,5051241c7d3502bcb7b6b7c8373aba216f9d41798482ebb171138da56d4f67e4,0.153208,0.117917,0.908625,0.965458
10000,2,9339,correlation,5,corr-9339-00000931,6,3ee49d20370f1ccdbfdf14c299419375d609dd35a932ef0be7e245459e323525,0.117125,0.110083,0.92625,0.910375
10000,2,9339,correlation,6,corr-9339-00001266,6,621a4f6babcf47a8c54e5fb31cb7454431c8c5ddc6287d2bfe471f0ff09ebb25,0.131458,0.118417,0.870958,0.922875
10000,2,9339,correlation,7,corr-9339-00000195,6,648459a1ea66210e395869e32c5a4a446570983d6a00c64e9dd2d02c5d9a3c5a,0.129625,0.108791,0.961459,0.992208
10000,2,9339,correlation,8,corr-9339-00000019,6,715a76dc61478f0a5b6228f24ec9dd4c4f76a9821d3e5b961fa2e866f26b93f9,0.108125,0.097666,0.90375,0.881792
10000,2,9339,correlation,9,corr-9339-00000721,6,896ee9a10b2dc85cc5a52c8f5e0dc504a51bfaa4de30b84450b0ffbc5c421dba,0.109125,0.100667,0.882125,0.924041
10000,2,9339,correlation,10,corr-9339-00001549,6,574c7b561fd38e060b6b22e848e5d830d7edec8e5e8eb94eef37d057b7c41d99,0.131792,0.129584,0.906959,0.973042
10000,2,9339,correlation,11,corr-9339-00000565,6,93ca04d7f7c40c602c9463b0d6a698e007b6458fe7a3b757cc831b6f38dc7519,0.108042,0.108542,0.911584,0.902875
10000,2,9339,correlation,12,corr-9339-00000969,6,6f29ca9967118c158b1d098fe91ddbb8157b362af4767d64e3c7338b3cc2cd90,0.112208,0.109625,0.908917,0.902083
10000,2,9339,correlation,13,corr-9339-00001417,6,e10be8f78ce5e2269749732ab371de2fb6564131646a3956b6af81680f476237,0.115125,0.099792,0.8695,0.925709
10000,2,9339,correlation,14,corr-9339-00001345,6,a75933e4191924e7102c1e4e1c700ef7c1dc791eb49a0a1ccf59eed9b790570f,0.115917,0.135167,1.010209,0.968
10000,2,9339,correlation,15,corr-9339-00000950,6,28858e55d7fedf76d6ea0ea6dd988c17be8e2f4746f63345d9dd97351172cb00,0.124458,0.115917,0.923,0.932833
10000,2,9339,correlation,16,corr-9339-00000983,6,c93e3bae7fc74042d86f95bf64b3eda66acd15dc1bc2aab92d6e4c24e34d3854,0.152083,0.11325,0.967875,0.96975
10000,2,9339,correlation,17,corr-9339-00000600,6,4f899190880ed6e0e73d935becdf36b972048b2943fc52e104900395f7a31a24,0.116875,0.095667,1.0865,0.999666
10000,2,9339,correlation,18,corr-9339-00001140,6,9b8fddf909130bf4e25c2462dfee58ef2c741887f734ed7d1ea6b493a8777d21,0.136875,0.134208,0.947291,0.949042
10000,2,9339,correlation,19,corr-9339-00000165,6,4116087900d93530a3aeb5638c42cb575a7a66d1d8cfacbaf8c2fc82236e497e,0.12675,0.119333,0.9425,0.924
10000,3,9440,service,0,svc-0010,48,54e71634d6e3aaa25f91548bfc277195da95a4cea2768979adc480a70527e774,0.307709,0.898625,0.1755,1.164541
10000,3,9440,service,1,svc-0187,54,5577d873d66e16e8022f56cffd5d04e9d89919f5ace8478b19cd22c9470fd52b,0.14875,0.836625,0.162292,0.928083
10000,3,9440,service,2,svc-0149,48,a0b3dc4593a2a9d385179f4dfac01e15badf8cf9aef4ed1b721e71470ab2dfb1,0.177583,0.953709,0.1915,0.88325
10000,3,9440,service,3,svc-0091,48,e8aff7df86aa0079c7c5389e1d83327f46a645863cb3f20aa1c16c5b16080a26,0.144,0.883125,0.150458,0.871584
10000,3,9440,service,4,svc-0019,48,a69ca45d61ffcd522179cfb69c47c1671e36dc72ca322f55321e3ac9c5c03cd9,0.144875,0.923667,0.154917,0.868042
10000,3,9440,service,5,svc-0183,54,c1c97bf732f19d497f8520b99b3c5a74d7e90e63537f601b940d4f746c0c61ed,0.159625,0.945833,0.175459,0.937208
10000,3,9440,service,6,svc-0007,54,8502e51d7f13e2f6d2ef98ee7c9feffd71780dd0ae8fb5849a5c8bc20ff9cf9a,0.1535,0.930792,0.152917,0.885958
10000,3,9440,service,7,svc-0171,48,584b8ff00733a5cde9a99d842d236c050119bc76d47e34576a1fa45fe2c78233,0.154917,0.905917,0.15775,0.875541
10000,3,9440,service,8,svc-0180,48,01008191c455cd45ced55b7c7eaf10cbccfc440d4d7c2fae5c0180f6ed35ad16,0.165625,0.921792,0.145875,0.938625
10000,3,9440,service,9,svc-0023,48,f781de15b6667ccf049e18ff8b8dc553b8b3695ffeaabf77e2648f9eb19d3d17,0.149375,0.893125,0.158,0.876916
