scenario,algorithm,seed,configured_chain_count,configured_service_count,configured_overlap_fraction,temporal_window_ms,missing_id_events,wrong_id_events,collision_pairs,exact_duplicate_observations,conflicting_duplicate_observations,clock_skewed_events,late_events,jittered_events,truth_chain_count,event_count,canonical_event_count,observation_count,predicted_group_count,predicted_chain_group_count,complete_chain_count,complete_chain_coverage,exact_chain_accuracy,exact_chain_precision,exact_chain_recall,exact_chain_f1,mean_chain_member_coverage,true_join_pair_count,predicted_join_pair_count,correct_join_count,missed_join_count,missed_join_rate,false_join_count,false_join_rate,join_precision,join_recall,ambiguous_group_count,ambiguous_event_count,ambiguous_event_rate,accepted_ambiguous_group_count,detected_ambiguous_group_count,ambiguity_detection_true_positive,ambiguity_detection_false_positive,ambiguity_detection_false_negative,ambiguity_detection_precision,ambiguity_detection_recall,source_conflict_group_count,detected_source_conflict_group_count,source_conflict_detection_precision,source_conflict_detection_recall,abstained_observation_count,abstention_rate,deduplicated_observation_count,deduplication_rate,time_to_completeness_observations,time_to_completeness_p50_ms,time_to_completeness_p95_ms,time_to_completeness_max_ms,arrival_inversion_count,arrival_inversion_rate
collision_cross_service_5pct,correlation_id_only_ablation,20260905,24,4,0.25,1500,0,0,1,0,0,0,0,0,24,144,144,144,23,23,22,0.9166666666666666,0.9166666666666666,0.9565217391304348,0.9166666666666666,0.9361702127659574,1.0,360,396,360,0,0.0,36,0.09090909090909091,0.9090909090909091,1.0,1,12,0.08333333333333333,1,1,1,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,22,1275.0,1275.0,1275.0,0,0.0
collision_cross_service_5pct,naive_temporal_window,20260905,24,4,0.25,1500,0,0,1,0,0,0,0,0,24,144,144,144,24,24,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,360,378,342,18,0.05,36,0.09523809523809523,0.9047619047619048,0.95,2,18,0.125,2,2,2,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,20,1275.0,1275.0,1275.0,0,0.0
duplicate_exact_10pct,strict_service_plus_correlation,20260905,24,4,0.25,1500,0,0,0,14,0,0,0,0,24,144,144,158,24,24,24,1.0,1.0,1.0,1.0,1.0,1.0,360,360,360,0,0.0,0,0.0,1.0,1.0,0,0,0.0,0,0,0,0,0,,,0,0,,,0,0.0,14,0.08860759493670886,24,1275.0,1275.0,1275.0,0,0.0
duplicate_exact_10pct,correlation_id_only_ablation,20260905,24,4,0.25,1500,0,0,0,14,0,0,0,0,24,144,144,158,24,24,24,1.0,1.0,1.0,1.0,1.0,1.0,360,360,360,0,0.0,0,0.0,1.0,1.0,0,0,0.0,0,0,0,0,0,,,0,0,,,0,0.0,14,0.08860759493670886,24,1275.0,1275.0,1275.0,0,0.0
duplicate_exact_10pct,naive_temporal_window,20260905,24,4,0.25,1500,0,0,0,14,0,0,0,0,24,144,144,158,24,24,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,360,378,342,18,0.05,36,0.09523809523809523,0.9047619047619048,0.95,2,18,0.125,2,2,2,0,0,1.0,1.0,0,0,,,0,0.0,14,0.08860759493670886,20,1275.0,1275.0,1275.0,0,0.0
duplicate_source_conflict_5pct,strict_service_plus_correlation,20260905,24,4,0.25,1500,0,0,0,0,7,0,0,0,24,144,144,151,38,24,17,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.951388888888889,360,325,325,35,0.09722222222222222,0,0.0,1.0,0.9027777777777778,0,0,0.0,0,0,0,0,0,,,7,7,1.0,1.0,14,0.09271523178807947,0,0.0,17,1275.0,1275.0,1275.0,0,0.0
duplicate_source_conflict_5pct,correlation_id_only_ablation,20260905,24,4,0.25,1500,0,0,0,0,7,0,0,0,24,144,144,151,24,24,17,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,1.0,360,402,360,0,0.0,42,0.1044776119402985,0.8955223880597015,1.0,0,0,0.0,0,7,0,7,0,0.0,,7,7,1.0,1.0,0,0.0,0,0.0,17,1275.0,1275.0,1275.0,0,0.0
duplicate_source_conflict_5pct,naive_temporal_window,20260905,24,4,0.25,1500,0,0,0,0,7,0,0,0,24,144,144,151,24,24,14,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.9583333333333334,360,423,342,18,0.05,81,0.19148936170212766,0.8085106382978723,0.95,2,18,0.125,2,8,2,6,0,0.25,1.0,7,7,1.0,1.0,0,0.0,0,0.0,14,1275.0,1275.0,1275.0,0,0.0
clock_skew_random_10pct_5s,strict_service_plus_correlation,20260905,24,4,0.25,1500,0,0,0,0,0,14,0,0,24,144,144,144,74,14,14,0.5833333333333334,0.5833333333333334,1.0,0.5833333333333334,0.7368421052631579,0.6527777777777778,360,210,210,150,0.4166666666666667,0,0.0,1.0,0.5833333333333334,0,0,0.0,0,10,0,10,0,0.0,,0,0,,,60,0.4166666666666667,0,0.0,14,1275.0,1275.0,1275.0,0,0.0
clock_skew_random_10pct_5s,correlation_id_only_ablation,20260905,24,4,0.25,1500,0,0,0,0,0,14,0,0,24,144,144,144,24,24,24,1.0,1.0,1.0,1.0,1.0,1.0,360,360,360,0,0.0,0,0.0,1.0,1.0,0,0,0.0,0,10,0,10,0,0.0,,0,0,,,0,0.0,0,0.0,24,1275.0,1275.0,1275.0,0,0.0
